net,length_um
net32,88.31
net13,78.66
net34,75.88
net33,66.23
clknet_2_2__leaf_clk,65.62
net9,63.68
net35,62.73
clknet_2_0__leaf_clk,61.8
net29,61.08
clknet_2_1__leaf_clk,60.22
clknet_0_clk,56.6
clknet_2_3__leaf_clk,55.18
clk,54.06
net28,52.56
net11,52.51
net2,50.56
net27,49.78
net16,48.575
net12,48.2
net5,48.18
net31,46.96
net30,46.84
net25,46.64
net14,44.28
net15,42.56
net26,41.88
net3,39.36
_055_,35.42
net17,35.08
net8,35.04
net6,34.18
net10,32.96
net23,31.42
net41,31.37
net22,30.88
net24,30.22
_051_,27.8
_049_,26.56
net53,25.95
net21,25.9
net36,24.73
net4,24.56
net65,24.36
net86,23.99
net40,23.81
net90,23.77
net19,22.72
net64,22.68
_058_,22.5
debug_pc[5],22.3
net18,22.2
net79,21.16
net49,20.64
net7,20.6
net92,19.95
net43,19.32
debug_pc[24],19.02
_048_,18.74
debug_pc[14],17.58
_053_,17.44
_052_,17.4
net66,17.38
_038_,17.3
net91,17.07
net74,16.55
net82,15.58
net48,15.51
net100,14.42
_063_,14.34
net52,14.18
net99,14.13
_043_,13.94
net75,13.51
debug_pc[4],13.42
debug_pc[19],13.23
net20,13.22
_057_,12.92
net97,12.84
_047_,12.72
net70,12.41
debug_pc[3],12.16
net78,12.05
_050_,12
net80,11.83
_062_,11.62
debug_pc[20],11.6
debug_pc[31],11.58
debug_pc[2],11.26
debug_pc[7],11.26
net50,11.24
net123,11.24
net104,11.2
_032_,10.86
net122,10.8
net62,10.78
net46,10.78
debug_pc[11],10.78
debug_pc[22],10.78
debug_pc[6],10.78
net110,10.78
net59,10.77
net89,10.56
net71,10.56
net42,10.53
net117,10.4
debug_pc[15],10.34
net76,10.32
debug_pc[17],9.86
debug_pc[21],9.86
net73,9.64
net116,9.52
net83,9.4
net84,9.4
net88,9.4
net93,9.4
net77,9.4
net37,9.4
net51,9.4
net68,9.4
net94,9.05
debug_pc[13],8.96
net120,8.94
net118,8.82
net47,8.72
net56,8.72
net38,8.72
_064_,8.24
net1,8.18
net63,8.01
net106,7.68
debug_pc[23],7.58
debug_pc[28],7.58
debug_pc[29],7.58
net121,7.56
net125,7.56
_004_,7.22
net103,7.22
net126,7.22
debug_pc[16],7.15
_039_,7.06
debug_pc[9],6.91
net119,6.76
net102,6.72
net96,6.65
_015_,6.64
net108,6.52
net109,6.3
_002_,6.06
_054_,6.04
net69,5.99
net57,5.97
net39,5.97
_014_,5.92
net127,5.86
_044_,5.8
_072_,5.72
debug_pc[26],5.63
_035_,5.6
_003_,5.46
_059_,5.34
net44,5.31
net72,5.29
net54,5.29
net60,5.29
net67,5.29
_019_,5.28
_006_,5.26
_037_,5.22
_046_,5.22
net105,5.14
debug_pc[18],5.07
debug_pc[25],5.07
net113,5.06
_010_,5.04
net81,4.95
rst_n,4.95
_060_,4.92
_042_,4.88
net85,4.61
net87,4.61
net95,4.61
net98,4.61
net55,4.61
net128,4.6
_029_,4.56
_001_,4.48
_030_,4.42
debug_pc[10],4.39
debug_pc[30],4.39
_008_,4.36
_040_,4.34
net101,4.27
debug_pc[27],4.27
net107,4.14
net58,3.93
net61,3.93
net45,3.93
debug_pc[12],3.93
debug_pc[8],3.93
_026_,3.845
net115,3.68
_000_,3.66
_028_,3.56
_056_,3.54
_073_,3.54
net112,3.42
_020_,3.3
_016_,3.105
_031_,3.08
_033_,2.96
_018_,2.84
net114,2.76
net124,2.76
net129,2.76
_022_,2.74
_009_,2.64
_023_,2.64
net111,2.62
_011_,2.18
_012_,2.18
_013_,2.18
_036_,2.06
_045_,2.06
_065_,2.06
_066_,2.06
_067_,2.06
_069_,2.06
_071_,2.06
_007_,1.82
_025_,1.82
_027_,1.82
_061_,1.7
_005_,1.36
_024_,1.36
_034_,1.14
_041_,1.14
_068_,1.14
_070_,1.14
_017_,1.085
_021_,1.08
